Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,209.199997,209.223007,205.748993,205.748993,203.166733,52
2017-05-09,207.500000,208.675003,207.500000,208.675003,206.056015,10
2017-05-10,210.709000,210.709000,210.709000,210.709000,208.064484,0
2017-05-11,210.820007,210.820007,209.500000,209.500000,206.870667,200
2017-05-12,207.608002,213.356995,207.608002,213.042999,210.369202,125
2017-05-15,212.710007,217.733994,212.710007,215.602997,212.897064,410
2017-05-16,215.582993,217.121994,215.582993,217.121994,214.397003,50
2017-05-17,212.994995,212.994995,212.994995,212.994995,211.657303,0
2017-05-18,216.042999,218.000000,216.042999,218.000000,216.630875,10
2017-05-19,218.296997,218.296997,217.970993,217.970993,216.602051,50
2017-05-22,216.500000,217.000000,215.871994,217.000000,215.637161,36
2017-05-23,216.897995,219.688995,216.897995,219.231995,217.855133,53
2017-05-24,217.429001,228.085007,217.429001,228.085007,226.652557,590
2017-05-25,227.378998,229.113007,227.378998,229.113007,227.674088,10
